    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:01 /sbin/init splash
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      5 ?        I<     0:00 [slub_flushwq]
      6 ?        I<     0:00 [netns]
      7 ?        I      0:00 [kworker/0:0-events]
      8 ?        I<     0:00 [kworker/0:0H-events_highpri]
      9 ?        I      0:00 [kworker/u32:0-events_unbound]
     10 ?        I<     0:00 [mm_percpu_wq]
     11 ?        I      0:00 [rcu_tasks_kthread]
     12 ?        I      0:00 [rcu_tasks_rude_kthread]
     13 ?        I      0:00 [rcu_tasks_trace_kthread]
     14 ?        S      0:00 [ksoftirqd/0]
     15 ?        I      0:00 [rcu_preempt]
     16 ?        S      0:00 [migration/0]
     17 ?        S      0:00 [idle_inject/0]
     18 ?        I      0:00 [kworker/0:1-cgroup_destroy]
     19 ?        S      0:00 [cpuhp/0]
     20 ?        S      0:00 [cpuhp/1]
     21 ?        S      0:00 [idle_inject/1]
     22 ?        S      0:00 [migration/1]
     23 ?        S      0:00 [ksoftirqd/1]
     24 ?        I      0:00 [kworker/1:0-cgroup_destroy]
     25 ?        I<     0:00 [kworker/1:0H-events_highpri]
     26 ?        S      0:00 [cpuhp/2]
     27 ?        S      0:00 [idle_inject/2]
     28 ?        S      0:00 [migration/2]
     29 ?        S      0:00 [ksoftirqd/2]
     30 ?        I      0:00 [kworker/2:0-rcu_gp]
     31 ?        I<     0:00 [kworker/2:0H-events_highpri]
     32 ?        S      0:00 [cpuhp/3]
     33 ?        S      0:00 [idle_inject/3]
     34 ?        S      0:00 [migration/3]
     35 ?        S      0:00 [ksoftirqd/3]
     36 ?        I      0:00 [kworker/3:0-mm_percpu_wq]
     37 ?        I<     0:00 [kworker/3:0H-events_highpri]
     38 ?        S      0:00 [cpuhp/4]
     39 ?        S      0:00 [idle_inject/4]
     40 ?        S      0:00 [migration/4]
     41 ?        S      0:00 [ksoftirqd/4]
     42 ?        I      0:00 [kworker/4:0-events]
     43 ?        I<     0:00 [kworker/4:0H-events_highpri]
     44 ?        S      0:00 [cpuhp/5]
     45 ?        S      0:00 [idle_inject/5]
     46 ?        S      0:00 [migration/5]
     47 ?        S      0:00 [ksoftirqd/5]
     48 ?        I      0:00 [kworker/5:0-events]
     49 ?        I<     0:00 [kworker/5:0H-events_highpri]
     50 ?        S      0:00 [cpuhp/6]
     51 ?        S      0:00 [idle_inject/6]
     52 ?        S      0:00 [migration/6]
     53 ?        S      0:00 [ksoftirqd/6]
     54 ?        I      0:00 [kworker/6:0-events]
     55 ?        I<     0:00 [kworker/6:0H-events_highpri]
     56 ?        S      0:00 [cpuhp/7]
     57 ?        S      0:00 [idle_inject/7]
     58 ?        S      0:00 [migration/7]
     59 ?        S      0:00 [ksoftirqd/7]
     60 ?        I      0:00 [kworker/7:0-mm_percpu_wq]
     61 ?        I<     0:00 [kworker/7:0H-events_highpri]
     62 ?        S      0:00 [cpuhp/8]
     63 ?        S      0:00 [idle_inject/8]
     64 ?        S      0:00 [migration/8]
     65 ?        S      0:00 [ksoftirqd/8]
     66 ?        I      0:00 [kworker/8:0-events]
     67 ?        I<     0:00 [kworker/8:0H-events_highpri]
     68 ?        S      0:00 [cpuhp/9]
     69 ?        S      0:00 [idle_inject/9]
     70 ?        S      0:00 [migration/9]
     71 ?        S      0:00 [ksoftirqd/9]
     72 ?        I      0:00 [kworker/9:0-inet_frag_wq]
     73 ?        I<     0:00 [kworker/9:0H-events_highpri]
     74 ?        S      0:00 [cpuhp/10]
     75 ?        S      0:00 [idle_inject/10]
     76 ?        S      0:00 [migration/10]
     77 ?        S      0:00 [ksoftirqd/10]
     78 ?        I      0:00 [kworker/10:0-events]
     79 ?        I<     0:00 [kworker/10:0H-events_highpri]
     80 ?        S      0:00 [cpuhp/11]
     81 ?        S      0:00 [idle_inject/11]
     82 ?        S      0:00 [migration/11]
     83 ?        S      0:00 [ksoftirqd/11]
     84 ?        I      0:00 [kworker/11:0-events]
     85 ?        I<     0:00 [kworker/11:0H-events_highpri]
